vrefdes,vpin,refdes,pin
VCOMP0,0,J2,60
VCOMP0,1,J2,1
VCOMP0,2,J2,30
VCOMP0,3,J2,58
VCOMP0,4,J2,4
VCOMP0,5,J2,31
VCOMP1,0,J3,60
VCOMP1,1,J3,1
VCOMP1,2,J3,30
VCOMP1,3,J3,58
VCOMP1,4,J3,4
VCOMP1,5,J3,31
VCOMP2,0,U4,M02
VCOMP2,1,U4,M01
VCOMP2,2,U4,B13
VCOMP2,3,U4,E14
VCOMP2,4,U4,A04
VCOMP2,5,U4,A02
VCOMP2,6,U4,E02
VCOMP2,7,U4,F02
VCOMP2,8,U4,E01
VCOMP2,9,U4,G01
VCOMP2,10,U4,M12
VCOMP2,11,U4,P13
VCOMP2,12,U4,P08
VCOMP2,13,U4,P10
VCOMP2,14,U4,P09
VCOMP2,15,U4,R10
VCOMP2,16,U4,H02
VCOMP2,17,U4,M04
VCOMP2,18,U4,M03
VCOMP2,19,U4,G02
VCOMP2,20,U4,J02
VCOMP2,21,U4,H01
VCOMP2,22,U4,K02
VCOMP2,23,U4,J01
VCOMP2,24,U4,L02
VCOMP2,25,U4,L01
VCOMP2,26,U4,N06
VCOMP2,27,U4,N04
VCOMP2,28,U4,P06
VCOMP2,29,U4,N05
VCOMP2,30,U4,R08
VCOMP2,31,U4,P05
VCOMP2,32,U4,R06
VCOMP2,33,U4,R05
VCOMP2,34,U4,N03
VCOMP2,35,U4,P04
VCOMP2,36,U4,P03
VCOMP2,37,U4,R03
VCOMP2,38,U4,R04
VCOMP2,39,U4,R02
VCOMP3,0,U4,N01
VCOMP3,1,U4,N02
VCOMP3,2,U4,P02
VCOMP3,3,U4,P01
VCOMP3,4,U4,B13
VCOMP3,5,U4,E14
VCOMP3,6,U4,A04
VCOMP3,7,U4,A02
VCOMP3,8,U4,E02
VCOMP3,9,U4,F02
VCOMP3,10,U4,E01
VCOMP3,11,U4,G01
VCOMP3,12,U4,M12
VCOMP3,13,U4,P13
VCOMP3,14,U4,P08
VCOMP3,15,U4,P10
VCOMP3,16,U4,P09
VCOMP3,17,U4,R10
VCOMP3,18,U4,H02
VCOMP3,19,U4,M04
VCOMP3,20,U4,M03
VCOMP3,21,U4,G02
VCOMP3,22,U4,J02
VCOMP3,23,U4,H01
VCOMP3,24,U4,K02
VCOMP3,25,U4,J01
VCOMP3,26,U4,L02
VCOMP3,27,U4,L01
VCOMP3,28,U4,N06
VCOMP3,29,U4,N04
VCOMP3,30,U4,P06
VCOMP3,31,U4,N05
VCOMP3,32,U4,R08
VCOMP3,33,U4,P05
VCOMP3,34,U4,R06
VCOMP3,35,U4,R05
VCOMP3,36,U4,N03
VCOMP3,37,U4,P04
VCOMP3,38,U4,P03
VCOMP3,39,U4,R03
VCOMP3,40,U4,R04
VCOMP3,41,U4,R02
VCOMP4,0,U20,3
VCOMP4,1,U20,6
VCOMP5,0,U21,6
VCOMP5,1,U21,3
VCOMP5,2,U21,2
VCOMP5,3,U21,8
VCOMP6,0,U21,10
VCOMP6,1,U21,3
VCOMP6,2,U21,2
VCOMP6,3,U21,8
VCOMP7,0,R65,2
VCOMP7,1,R66,1
VCOMP8,0,U22,6
VCOMP8,1,U22,3
VCOMP8,2,U22,2
VCOMP8,3,U22,8
VCOMP9,0,U22,10
VCOMP9,1,U22,3
VCOMP9,2,U22,2
VCOMP9,3,U22,8
VCOMP10,0,R68,2
VCOMP10,1,R70,1
VCOMP11,0,U1,1
VCOMP11,1,U1,6
VCOMP12,0,FB1,1
VCOMP12,1,FB1,2
VCOMP13,0,FB2,1
VCOMP13,1,FB2,2
